Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp	Regulation
BZRAP1	ENSG00000005379.15	8.08	26.866	-1.618	9.40E-15	DOWN
C10orf10	ENSG00000165507.8	8.64	29.098	-1.643	7.96E-07	DOWN
C11orf45	ENSG00000174370.9	0.26	2.575	-1.505	2.19E-15	DOWN
C11orf54	ENSG00000182919.14	4.88	19.71	-1.816	7.22E-18	DOWN
C11orf96	ENSG00000187479.5	22.71	93.389	-1.993	4.81E-14	DOWN
C14orf180	ENSG00000184601.10	0.02	1.895	-1.505	1.68E-19	DOWN
C15orf52	ENSG00000188549.12	3.57	11.835	-1.49	3.35E-11	DOWN
C16orf86	ENSG00000159761.14	1.94	5.22	-1.081	3.05E-10	DOWN
C17orf85	ENSG00000074356.16	6.97	15.015	-1.007	6.52E-20	DOWN
C1orf132	ENSG00000203709.9	0.25	3.285	-1.777	5.90E-30	DOWN
C1orf162	ENSG00000143110.11	4.05	15.615	-1.718	3.24E-10	DOWN
C1orf228	ENSG00000198520.10	1.03	5.49	-1.677	2.36E-23	DOWN
C1QB	ENSG00000173369.15	62.43	188.033	-1.575	2.84E-04	DOWN
C1QC	ENSG00000159189.11	40.72	120.008	-1.536	3.17E-03	DOWN
C1QTNF1	ENSG00000173918.14	22.19	54.869	-1.269	5.47E-12	DOWN
C1QTNF1-AS1	ENSG00000265096.1	8.03	17.425	-1.029	1.10E-09	DOWN
C1R	ENSG00000159403.15	39.86	182.492	-2.167	1.94E-08	DOWN
C1RL	ENSG00000139178.10	27.07	76.114	-1.458	1.03E-10	DOWN
C1RL-AS1	ENSG00000205885.7	0.87	3.135	-1.145	5.80E-15	DOWN
C1S	ENSG00000182326.14	31.93	176.539	-2.431	2.49E-14	DOWN
C2	ENSG00000166278.14	3.13	11.318	-1.577	2.39E-03	DOWN
